Player,Pos,Team,AVG,TTL
Patrick Mahomes II,QB,KC,18.4,294.1
Josh Allen,QB,BUF,24.2,410.9
Jalen Hurts,QB,PHI,21.9,371.9
Austin Ekeler,RB,LAC,13.2,185.4
Joe Burrow,QB,CIN,15.3,153.2
Dak Prescott,QB,DAL,20.7,352
Lamar Jackson,QB,BAL,21.1,338.2
Jordan Love,QB,GB,19.4,330.1
Brock Purdy,QB,SF,19.2,306.6
Jared Goff,QB,DET,17.8,302.9
Tua Tagovailoa,QB,MIA,16.7,284.4
Baker Mayfield,QB,TB,16.7,284
CJ Stroud,QB,HOU,18.7,281.1
Sam Howell,QB,was,16.4,278.6
Trevor Lawrence,QB,JAX,17.3,276.6
Russell wilson,QB,DEN,17.7,264.9
Matt Stafford,QB,DET,17,254.3
Derek Carr,QB,NO,14.7,249.1
Justin Herbert,QB,LAC,18.6,241.2
Justin Fields,QB,CHI,18.4,239.1
Geno Smith ,QB,SEA,15.8,236.4
Joshua Dobbs,QB,MIN,16.2,210.5
Gardern Minshew,QB,IND,12.8,205.2
Desmond Ridder,QB,ATL,12.6,189.1
Bryce Young,QB,CAR,10.4,166.5
Kirk Cousins,QB,MIN,19.4,153.2
Jake Browning,QB,CIN,16.8,151.5
Kyler Murray,QB,ARZ,18.9,151.4
Christian McCaffrey,RB,SF,24.5,391.3
Breece Hall,RB,NYJ,17.1,290.5
Travis Etienne Jr,RB,JAX,16.6,282.4
Rachaad White,RB,TB,15.8,267.9
Raheem Mostert,RB,MIA,17.8,267.7
Joe Mixon,RB,CIN,15.7,267
Kyren Williams,RB,LAR,21.3,255
Derrick Henry,RB,TN,14.5,246.7
Bijan Robinson,RB,ATL,14.5,246.3
Jahymr Gibbs,RB,DET,16.1,242.1
Alvin Kamara,RB,NO,17.9,233
James Cook,RB,BUF,13.7,232.7
Saquon Barkley,RB,NYG,15.9,223.2
Tony Pollard,RB,DAL,13.1,222.6
Isiah Pacheco,RB,KC,15.3,213.9
Jerome Ford,RB,CLV,12.4,211.2
James Conner,RB,ARZ,15.5,201.5
Kenneth Walker III,RB,SEA,13.3,199.4
CeeDee Lamb,wr,DAL,23.7,403.2
Tyreek Hill ,wr,MIA,23.5,376.4
Amon-Ra St Brown,wr,DET,20.7,330.9
Puka Nacua ,wr,LAR,17.6,298.5
AJ Brown,wr,PHI,17,289.6
DJ Moore,wr,CHI,16.9,286.5
Mike Evans,wr,TB,16.6,282.2
Keenan Allen,wr,LAC,21.5,278.9
Stefon Diggs,wr,BUF,16.1,273.8
Davante Adams,wr,LV,15.6,265.4
JaMarr Chase,wr,CIN,16.4,262.7
Nico Collins,wr,HOU,17.4,260.4
Sam LaPorta,TE,DET,14.1,239.3
Evan Engram,TE,JAX,13.5,230.3
Travis Kelce,TE,KC,14.6,219.4
TJ Hockenson,TE,MIN,14.6,219.4
George Kittle,TE,SF,12.7,203.2
David Njoku,TE,CLV,12.6,201.2
Trey McBride,TE,ARZ,10.7,181.5
Cole Kmet,TE,CHI,10.7,181.1
Jake Ferguson,TE,DAL,10.4,177.1
Dalton Schultz,TE,HOU,10,150.5
Dalton Kincaid,TE,BUF,9.4,150.3
Taysom Hill,TE,NO,9,143.5
Kyle Pitts,TE,ATL,8.1,137.3
Dalllas Goedert,TE,PHI,9.7,136.3
